date,state,cases_import,cases_new,cases_recovered,rtk-ag,pcr,total_tests,positivity_rate,deaths_new,deaths_new_dod,deaths_bid,deaths_bid_dod,beds_x,pkrc_admitted_pui,pkrc_admitted_covid,pkrc_admitted_total,pkrc_discharged_pui,pkrc_discharged_covid,pkrc_discharged_total,pkrc_covid,pkrc_pui,pkrc_noncovid,beds_y,beds_covid,beds_noncrit,hosp_admitted_pui,hosp_admitted_covid,hosp_admitted_total,hosp_discharged_pui,hosp_discharged_covid,hosp_discharged_total,hosp_covid,hosp_pui,hosp_noncovid,beds_icu,beds_icu_rep,beds_icu_total,beds_icu_covid,vent,vent_port,icu_covid,icu_pui,icu_noncovid,vent_covid,vent_pui,vent_noncovid,vent_used,vent_port_used
2021-07-01,Johor,1,270,361,2749.0,3670.0,6419.0,0.042062626577348494,6,8,0,2,2321,0,103,103,0,152,152,964,0,0,5090,1535,4903,178,131,309,130,117,247,732,233,3051,120,67,187,113,145,106,106,1,43,68,1,0,148,0
2021-07-01,Kedah,0,250,186,2073.0,1297.0,3370.0,0.07418397626112759,0,4,0,0,540,0,71,71,0,55,55,348,0,0,2755,661,2639,1,70,71,0,32,32,338,2,1650,61,55,116,73,105,48,65,0,13,43,0,0,125,0
2021-07-01,Kelantan,0,108,208,1348.0,1966.0,3314.0,0.032589016294508145,0,2,0,1,2763,11,96,107,9,133,142,638,73,0,2737,559,2593,13,59,72,14,49,63,297,18,1439,97,47,144,56,111,41,26,0,67,12,0,0,85,0
2021-07-01,Melaka,0,311,317,1049.0,2132.0,3181.0,0.09776799748506759,4,2,0,1,1662,0,181,181,0,95,95,886,0,0,1101,290,987,18,56,74,10,40,50,397,23,579,40,74,114,70,59,7,99,0,18,18,0,0,31,0
2021-07-01,Negeri Sembilan,0,692,883,2151.0,3306.0,5457.0,0.12680960234561114,6,13,0,2,2395,0,191,191,0,98,98,1248,0,0,1431,1084,1366,6,147,153,4,96,100,861,12,456,26,39,65,51,49,20,91,0,12,64,0,0,84,0
2021-07-01,Pahang,0,195,19,2103.0,2605.0,4708.0,0.04141886151231946,2,5,0,1,2908,10,206,216,1,71,72,1126,33,0,2250,842,2175,9,66,75,13,35,48,395,38,956,46,25,71,47,63,25,36,0,21,20,0,0,51,0
2021-07-01,Perak,0,149,98,1235.0,3715.0,4950.0,0.0301010101010101,0,1,0,0,1157,0,40,40,0,16,16,386,0,174,2728,399,2635,0,19,19,1,24,25,148,8,1731,64,29,93,71,93,76,18,0,42,10,0,0,94,0
2021-07-01,Perlis,0,1,0,105.0,16.0,121.0,0.008264462809917356,0,0,0,0,314,0,0,0,0,0,0,0,0,0,487,87,471,4,1,5,2,0,2,23,15,233,8,8,16,8,16,13,1,0,10,0,0,0,15,0
2021-07-01,Pulau Pinang,0,174,104,4632.0,1528.0,6160.0,0.028246753246753246,0,2,0,1,1877,0,111,111,0,84,84,608,0,0,1292,319,1232,0,32,32,0,17,17,149,0,709,26,34,60,42,47,33,31,0,18,9,0,0,31,0
2021-07-01,Sabah,0,232,188,3212.0,3465.0,6677.0,0.0347461434776097,5,1,1,0,2534,10,180,190,5,152,157,1059,39,0,3120,834,2954,7,29,36,15,45,60,337,45,1564,104,62,166,107,101,77,69,0,14,17,0,0,67,0
