date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,rtk-ag,pcr,total_tests,positivity_rate,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_pvax,deaths_fvax,deaths_tat,beds_x,pkrc_admitted_pui,pkrc_admitted_covid,pkrc_admitted_total,pkrc_discharged_pui,pkrc_discharged_covid,pkrc_discharged_total,pkrc_covid,pkrc_pui,pkrc_noncovid,beds_y,beds_covid,beds_noncrit,hosp_admitted_pui,hosp_admitted_covid,hosp_admitted_total,hosp_discharged_pui,hosp_discharged_covid,hosp_discharged_total,hosp_covid,hosp_pui,hosp_noncovid,beds_icu,beds_icu_rep,beds_icu_total,beds_icu_covid,vent,vent_port,icu_covid,icu_pui,icu_noncovid,vent_covid,vent_pui,vent_noncovid,vent_used,vent_port_used,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,daily_booster,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,cumul_booster,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-02-24,3163,1,2894,27810,2225.0,0.0,0.0,142.0,79.0,2752.0,137.0,0.0,0.0,0.0,0.0,5,1,4,0,0,0,10,23083,25,1362,1387,18,862,880,9597,124,252,30837,7389,29756,319,366,685,293,422,715,2360,1031,14701,706,371,1077,540,1170,642,243,8,387,123,8,0,731,0,60,0,60,0,0,0,60,0,60,0,0,0,60,0,0,0,0,0,0,0
2021-02-25,1704,3,3375,26135,651.0,0.0,0.0,150.0,65.0,1293.0,131.0,0.0,0.0,0.0,0.0,13,2,4,0,0,0,38,23409,14,1400,1414,12,1561,1573,9471,291,233,30837,7389,29753,356,437,793,304,541,845,2247,808,13996,709,371,1080,540,1170,642,252,13,391,130,13,0,745,0,1146,0,1146,0,0,0,1206,0,1206,0,0,0,1146,0,0,0,0,0,0,0
2021-02-26,2131,3,2759,25504,1119.0,0.0,0.0,117.0,73.0,1729.0,154.0,0.0,0.0,0.0,0.0,7,2,3,0,0,0,33,23301,15,1090,1105,16,1140,1156,9578,284,253,30837,7335,29753,371,562,933,269,366,635,2293,766,13987,709,371,1080,540,1170,642,236,7,411,126,7,0,733,0,4115,1,4116,0,0,0,5321,1,5322,0,0,0,4115,1,0,0,0,0,0,0
2021-02-27,2243,0,2973,24765,1091.0,0.0,0.0,141.0,94.0,1761.0,150.0,0.0,0.0,0.0,0.0,4,0,9,1,0,0,9,23501,39,1393,1432,23,1183,1206,9961,273,240,30837,7335,29757,336,352,688,291,462,753,2236,800,13886,709,367,1076,536,1170,642,237,7,390,126,6,0,741,0,6723,1,6724,0,0,0,12044,2,12046,0,0,0,6723,1,0,0,0,0,0,0
2021-02-28,2097,1,3025,23832,1176.0,0.0,0.0,123.0,78.0,1730.0,101.0,0.0,0.0,0.0,0.0,9,0,5,0,0,0,16,23685,10,1465,1475,5,2160,2165,9300,230,227,30837,7335,29755,308,406,714,218,428,646,2190,822,13904,709,369,1078,538,1170,642,241,7,386,122,7,0,726,0,6699,3,6702,0,0,0,18743,5,18748,0,0,0,6699,3,0,0,0,0,0,0
2021-03-01,1747,2,2137,23438,950.0,0.0,0.0,125.0,51.0,1378.0,95.0,0.0,0.0,0.0,0.0,3,0,4,0,0,0,12,23685,14,1171,1185,12,1273,1285,9110,237,243,30757,7205,29675,282,359,641,256,433,689,2136,723,14209,709,369,1078,538,1170,642,233,7,395,84,7,0,761,0,15372,4,15376,0,0,0,34115,9,34124,0,0,0,15372,4,0,0,0,0,0,0
2021-03-02,1409,2,2248,22591,571.0,0.0,1.0,93.0,51.0,1095.0,119.0,0.0,0.0,0.0,0.0,5,1,8,2,0,0,7,23724,12,951,963,15,1076,1091,8954,218,263,30757,7171,29685,329,403,732,275,471,746,2091,843,18036,709,359,1068,524,1170,642,235,7,408,125,7,0,768,0,21665,3,21668,0,0,0,55780,12,55792,0,0,0,21665,3,0,0,0,0,0,0
2021-03-03,1650,2,2167,22070,840.0,1.0,0.0,106.0,55.0,1366.0,64.0,0.0,0.0,0.0,0.0,5,0,4,0,0,0,11,24142,30,1074,1104,11,911,922,9106,247,321,30757,7171,29684,377,328,705,265,375,640,2064,783,17797,709,360,1069,526,1170,642,229,9,412,123,9,0,798,0,22688,5,22693,0,0,0,78468,17,78485,0,0,0,22688,5,0,0,0,0,0,0
2021-03-04,1936,3,2747,21256,848.0,0.0,0.0,152.0,87.0,1487.0,122.0,0.0,0.0,0.0,0.0,4,0,3,0,0,0,4,24183,18,751,769,6,1918,1924,7864,230,289,30757,7091,29692,280,343,623,232,428,660,2054,763,17051,709,352,1061,518,1170,642,221,11,400,121,11,0,787,0,19546,13,19559,0,0,0,98014,30,98044,0,0,0,19546,13,0,0,0,0,0,0
2021-03-05,2042,2,3109,20183,998.0,3.0,0.0,179.0,160.0,1142.0,113.0,0.0,0.0,0.0,0.0,6,1,6,0,0,0,37,24113,28,1087,1115,15,1588,1603,7496,233,276,30757,7091,29692,381,498,879,254,453,707,1960,779,17559,709,352,1061,518,1170,642,218,9,411,114,9,0,779,0,14328,4,14332,0,0,0,112342,34,112376,0,0,0,14328,4,0,0,0,0,0,0
